"YEAR";"HABITAT";"MIGRATION";"CIinf";"CIquart_inf";"med";"CIquart_sup";"CIsup"
1991;"Terrestre";"Long";0;0,122727272727273;0,221790890269151;0,278142589118199;0,360715408805031
1992;"Terrestre";"Long";0;0,118253968253968;0,227513227513228;0,447496947496947;0,721616541353383
1993;"Terrestre";"Long";0,0761904761904762;0,239417989417989;0,285714285714286;0,343073593073593;0,70625
1994;"Terrestre";"Long";0;0,0643236074270557;0,261363636363636;0,33031914893617;0,668346774193548
1995;"Terrestre";"Long";0;0;0,142857142857143;0,303125;0,52115987460815
1996;"Terrestre";"Long";0;0,0321428571428571;0,0934782608695652;0,294270833333333;0,506963399503722
1997;"Terrestre";"Long";0,0166666666666667;0,0958498023715415;0,193548387096774;0,313333333333333;1,45
1998;"Terrestre";"Long";0;0,0945945945945946;0,28125;0,506837606837607;0,644736842105263
1999;"Terrestre";"Long";0;0,17578125;0,248571428571429;0,378089887640449;1,3075
2000;"Terrestre";"Long";0;0,0625;0,22680412371134;0,588235294117647;1,15178137651822
2001;"Terrestre";"Long";0;0,165384615384615;0,333333333333333;0,482142857142857;1
2002;"Terrestre";"Long";0;0,146690518783542;0,333333333333333;0,477225672877847;0,962037037037037
2003;"Terrestre";"Long";0;0,1875;0,318181818181818;0,661016949152542;1,30714285714286
2004;"Terrestre";"Long";0;0,118788819875776;0,307692307692308;0,5;1,29746835443038
2005;"Terrestre";"Long";0;0,0889935165174437;0,254027926960258;0,421207264957265;1,09309210526316
2006;"Terrestre";"Long";0;0,118055555555556;0,333333333333333;0,588963963963964;1,91666666666667
2007;"Terrestre";"Long";0;0,0483870967741935;0,2;0,394642857142857;0,913888888888888
2008;"Terrestre";"Long";0;0,03125;0,198426573426573;0,436011904761905;1,22846153846154
2009;"Terrestre";"Long";0;0,151515151515151;0,3;0,5;1,29920634920635
2010;"Terrestre";"Long";0;0,0833333333333333;0,275862068965517;0,464102564102564;2
2011;"Terrestre";"Long";0;0,0857142857142857;0,25;0,517241379310345;0,867432950191571
2012;"Terrestre";"Long";0;0;0,131884057971014;0,290540540540541;0,835
2013;"Terrestre";"Long";0;0;0,142857142857143;0,333333333333333;0,762499999999999
2014;"Terrestre";"Long";0;0,0755494505494506;0,2;0,5;1,51684210526316
2015;"Terrestre";"Long";0;0,0366161616161616;0,25;0,5;1,17185734463277
2016;"Terrestre";"Long";0;0;0,136363636363636;0,288888888888889;0,634545454545455
2017;"Terrestre";"Long";0;0,0695970695970696;0,282857142857143;0,5;1,04464285714286
2018;"Terrestre";"Long";0;0,0884615384615385;0,260869565217391;0,5;1,18333333333333
2019;"Terrestre";"Long";0;0;0,211309523809524;0,408823529411765;0,992456896551724
2020;"Terrestre";"Long";0;0;0;0,122252747252747;0,96617445054945
