"YEAR";"AGE_first";"MIGRATION";"CIinf";"CIquart_inf";"med";"CIquart_sup";"CIsup";"HABITAT"
2007;"AD";"Long";0;0,0204081632653061;0,0652173913043478;0,0909090909090909;0,1126771178776;"STOC-rozo"
2008;"AD";"Long";0;0;0,0373230373230373;0,1;0,180272198731501;"STOC-rozo"
2009;"AD";"Long";0;0;0,0495049504950495;0,0952380952380952;0,239746300211416;"STOC-rozo"
2010;"AD";"Long";0;0;0,04;0,0862068965517241;0,172495755517827;"STOC-rozo"
2011;"AD";"Long";0;0;0;0,0484488315874295;0,150330851943755;"STOC-rozo"
2012;"AD";"Long";0;0;0,0239735859890899;0,121252498334444;0,152368421052632;"STOC-rozo"
2013;"AD";"Long";0;0;0,0151515151515152;0,06438396254024;0,176433691756272;"STOC-rozo"
2014;"AD";"Long";0,00869565217391304;0,0769230769230769;0,0952380952380952;0,121212121212121;0,158733747880158;"STOC-rozo"
2015;"AD";"Long";0;0;0,0454545454545455;0,100193423597679;0,146664844177146;"STOC-rozo"
2016;"AD";"Long";0,072014189988175;0,106009244992296;0,15;0,16869918699187;0,183017163504968;"STOC-rozo"
2017;"AD";"Long";0,0141025641025641;0,0811688311688312;0,122844827586207;0,147297297297297;0,220966228893058;"STOC-rozo"
2018;"AD";"Long";0;0,0159574468085106;0,0504807692307692;0,138331996792302;0,228736263736264;"STOC-rozo"
2019;"AD";"Long";0;0;0;0;0,162530762920427;"STOC-rozo"
1997;"JUV";"Long";0;0;0;0;0;"STOC-rozo"
1998;"JUV";"Long";0;0;0;0;0;"STOC-rozo"
1999;"JUV";"Long";0,000694444444444442;0,00694444444444444;0,0138888888888889;0,0208333333333333;0,0270833333333333;"STOC-rozo"
2000;"JUV";"Long";0,00089285714285714;0,00892857142857143;0,0178571428571429;0,0267857142857143;0,0348214285714286;"STOC-rozo"
2001;"JUV";"Long";0,153846153846154;0,153846153846154;0,153846153846154;0,153846153846154;0,153846153846154;"STOC-rozo"
2002;"JUV";"Long";0;0;0,03125;0,078125;0,0865036231884058;"STOC-rozo"
2003;"JUV";"Long";0;0;0;0;0;"STOC-rozo"
2004;"JUV";"Long";0;0;0;0;0;"STOC-rozo"
2005;"JUV";"Long";0,00208333333333333;0,0208333333333333;0,0416666666666667;0,0625;0,08125;"STOC-rozo"
2006;"JUV";"Long";0;0;0;0,015625;0,0578125;"STOC-rozo"
2007;"JUV";"Long";0;0;0;0;0,0221428571428572;"STOC-rozo"
2008;"JUV";"Long";0;0;0;0,04;0,0586956521739131;"STOC-rozo"
2009;"JUV";"Long";0;0;0;0;0,0483870967741935;"STOC-rozo"
2010;"JUV";"Long";0;0;0;0;0;"STOC-rozo"
2011;"JUV";"Long";0;0;0;0;0;"STOC-rozo"
2012;"JUV";"Long";0;0;0;0;0;"STOC-rozo"
2013;"JUV";"Long";0;0;0;0;0,0265151515151515;"STOC-rozo"
2014;"JUV";"Long";0;0;0;0,0104166666666667;0,0416666666666667;"STOC-rozo"
2015;"JUV";"Long";0;0;0;0,0185185185185185;0,0395555555555556;"STOC-rozo"
2016;"JUV";"Long";0;0;0;0;0;"STOC-rozo"
2017;"JUV";"Long";0;0;0;0,0212765957446809;0,065982905982906;"STOC-rozo"
2018;"JUV";"Long";0;0;0;0,0588235294117647;0,087012987012987;"STOC-rozo"
2019;"JUV";"Long";0;0;0;0;0;"STOC-rozo"
2001;"AD";"Court";0,032258064516129;0,032258064516129;0,032258064516129;0,032258064516129;0,032258064516129;"Aquatique"
2002;"AD";"Court";0,0476190476190476;0,0476190476190476;0,0476190476190476;0,0476190476190476;0,0476190476190476;"Aquatique"
2003;"AD";"Court";0;0;0;0;0;"Aquatique"
2005;"AD";"Court";0,0717261904761905;0,0744047619047619;0,0773809523809524;0,0803571428571428;0,0830357142857143;"Aquatique"
2006;"AD";"Court";0,00227272727272726;0,0227272727272727;0,0454545454545455;0,0681818181818182;0,0886363636363637;"Aquatique"
2007;"AD";"Court";0,00666666666666667;0,0666666666666667;0,133333333333333;0,201282051282051;0,262435897435897;"Aquatique"
2008;"AD";"Court";0,0646875;0,084375;0,10625;0,128125;0,1478125;"Aquatique"
2009;"AD";"Court";0,0869565217391304;0,0869565217391304;0,0869565217391304;0,0869565217391304;0,0869565217391304;"Aquatique"
2010;"AD";"Court";0;0;0;0,0357142857142857;0,0678571428571429;"Aquatique"
2011;"AD";"Court";0;0;0;0;0;"Aquatique"
2012;"AD";"Court";0,0434782608695652;0,0434782608695652;0,0434782608695652;0,0434782608695652;0,0434782608695652;"Aquatique"
2013;"AD";"Court";0,0588235294117647;0,0588235294117647;0,0588235294117647;0,0588235294117647;0,0588235294117647;"Aquatique"
2014;"AD";"Court";0,00375;0,0375;0,0666666666666667;0,089527027027027;0,10625;"Aquatique"
2015;"AD";"Court";0;0;0;0;0,0486111111111111;"Aquatique"
2016;"AD";"Court";0;0;0;0,0454545454545455;0,0574866310160428;"Aquatique"
2017;"AD";"Court";0;0;0,067287784679089;0,101315789473684;0,107610241820768;"Aquatique"
2018;"AD";"Court";0;0;0;0,0238095238095238;0,0518796992481203;"Aquatique"
2019;"AD";"Court";0;0;0;0,0277777777777778;0,102777777777778;"Aquatique"
2001;"JUV";"Court";0;0;0;0;0;"Aquatique"
2002;"JUV";"Court";0;0;0;0;0;"Aquatique"
2003;"JUV";"Court";0;0;0;0;0;"Aquatique"
2005;"JUV";"Court";0;0;0;0;0;"Aquatique"
2006;"JUV";"Court";0;0;0;0;0;"Aquatique"
2007;"JUV";"Court";0;0;0;0,0227272727272727;0,0840909090909091;"Aquatique"
2008;"JUV";"Court";0,00147058823529411;0,0147058823529412;0,0294117647058824;0,0441176470588235;0,0573529411764706;"Aquatique"
