"SP";"YEAR";"AGE_first";"MIGRATION";"CIinf";"CIquart_inf";"med";"CIquart_sup";"CIsup";"HABITAT"
"CETCET";2005;"AD";"Court";12,4665751965924;13,3601674641148;14,0384615384615;14,7909893319787;15,9791666666667;"Terrestre"
"ERIRUB";2005;"AD";"Court";15,0294117647059;16,1677852348993;16,8731627862413;17,8775510204082;22,9489017693716;"Terrestre"
"FRICOE";2005;"AD";"Court";18,6647199142321;20,4120481927711;21,2584269662921;22,2962962962963;24,6217209690894;"Terrestre"
"PARCAE";2005;"AD";"Court";9,75;10,3174603174603;10,6716417910448;11,412213740458;12,6119402985075;"Terrestre"
"PARMAJ";2005;"AD";"Court";15,6235259433962;16,6666666666667;17,5162337662338;18,75;21,00625;"Terrestre"
"PASDOM";2005;"AD";"Court";23,7525;25,4182795698925;26,6635243841126;27,7002564102564;29,5614689994356;"Terrestre"
"PHYCOL";2005;"AD";"Court";6,55555555555556;7,19756097560976;7,43697478991597;7,97950819672131;10,1465517241379;"Terrestre"
"PRUMOD";2005;"AD";"Court";16,5206677265501;18,1294964028777;19,0441176470588;19,9305555555556;22,3537875581887;"Terrestre"
"PYRULA";2005;"AD";"Court";18,7801456876457;20,3591316199377;21,3813262195122;22,3690916103438;24,5044035314384;"Terrestre"
"SYLATR";2005;"AD";"Court";15,1027397260274;16,241958041958;17,1164383561644;18,3114186851211;21,56;"Terrestre"
"TROTRO";2005;"AD";"Court";8,31772104018913;9,15384615384615;9,6078431372549;10;12,1642789598109;"Terrestre"
"TURMER";2005;"AD";"Court";77,0395348837209;83,7022900763359;88,0357142857143;93,7232142857143;103,532003874267;"Terrestre"
"TURPHI";2005;"AD";"Court";60,5141360089186;64,8136565116443;67,5726495726496;73,8761052246986;84,8443965517241;"Terrestre"
"AEGCAU";2006;"AD";"Court";6,832;7,548;8;8,30747008547009;9,35722530683811;"Terrestre"
"CETCET";2006;"AD";"Court";12,1370412844037;13,6724137931034;14,296875;15;16,3445993031359;"Terrestre"
"ERIRUB";2006;"AD";"Court";13,6542882882883;15,7837837837838;16,4507042253521;17,7358134920635;21,9929347826087;"Terrestre"
"FRICOE";2006;"AD";"Court";19,5769444444444;21,0195075757576;21,7622341216719;22,735632183908;24,5911172161172;"Terrestre"
"PARCAE";2006;"AD";"Court";10,0064338235294;10,4959677419355;10,8333333333333;11,2297661870504;12,909;"Terrestre"
"PARMAJ";2006;"AD";"Court";16,0726114649682;17;17,7631578947368;18,75;20,2702702702703;"Terrestre"
"PASDOM";2006;"AD";"Court";24,3699934210526;26,6447056030389;27,72;29,2220394736842;32,0933300876339;"Terrestre"
"PHYCOL";2006;"AD";"Court";6,32142857142857;7,24561403508772;7,64814814814815;8,23615904515387;9,83333333333333;"Terrestre"
"PRUMOD";2006;"AD";"Court";17;18,2394366197183;19,0220588235294;19,8956823671498;22,0928908091123;"Terrestre"
"PYRULA";2006;"AD";"Court";19,1886075949367;20,497005988024;21,6024096385542;23,0838150289017;27,71;"Terrestre"
"SYLATR";2006;"AD";"Court";14,8964484262744;16,3885135135135;17,2651006711409;18,1363636363636;20,7311548344119;"Terrestre"
"TROTRO";2006;"AD";"Court";7,53408611228366;9,38297872340426;9,8;10,2083333333333;11,1263593380615;"Terrestre"
"TURMER";2006;"AD";"Court";74,0723769205503;83,0232558139535;87,0238095238095;91,284046692607;99,433686023622;"Terrestre"
"TURPHI";2006;"AD";"Court";54,6964705882353;64,0862068965517;66,695652173913;70,4033613445378;79,2323956442831;"Terrestre"
"AEGCAU";2007;"AD";"Court";6,6200821777093;7,625;8;8,41379310344828;9,57301587301587;"Terrestre"
"CETCET";2007;"AD";"Court";9,77754424778761;13,5555555555556;14,758064516129;15,7583333333333;16,5237898686679;"Terrestre"
"ERIRUB";2007;"AD";"Court";14,6322344880091;15,7837837837838;16,5466666666667;17,3752540816996;22,3353472222222;"Terrestre"
"FRICOE";2007;"AD";"Court";19,1236809291607;20,5390151515152;21,4284608421513;22,3165269774751;25,3865384615385;"Terrestre"
"PARCAE";2007;"AD";"Court";9,6484375;10,4198473282443;10,8333333333333;11,171875;13,2968675274988;"Terrestre"
"PARMAJ";2007;"AD";"Court";15,4046975149592;16,8269230769231;17,5324675324675;18,5064935064935;20,4725856340932;"Terrestre"
"PASDOM";2007;"AD";"Court";23,7129259980526;26,671686746988;27,2911392405063;28,9938271604938;35,5563655761024;"Terrestre"
"PHYCOL";2007;"AD";"Court";6,55555555555556;7,14740591397849;7,61290322580645;8,08870967741935;9,65023538961038;"Terrestre"
"PRUMOD";2007;"AD";"Court";16,682237026648;18,3946513002364;19,400336889388;20,2898550724638;22,2709732988803;"Terrestre"
"PYRULA";2007;"AD";"Court";18,387871043627;20,2191099661208;21,6327160493827;23,08828125;27,0645713623726;"Terrestre"
"SYLATR";2007;"AD";"Court";14,9409965034965;16,3333333333333;17,2941176470588;18,375;21,089897260274;"Terrestre"
"TROTRO";2007;"AD";"Court";7,78249667553192;9,30876262626263;9,8;10,4255319148936;11,7173913043478;"Terrestre"
"TURMER";2007;"AD";"Court";77,4269789146215;83,819653730538;87,9651162790698;93,1178696888591;102,250359563253;"Terrestre"
